"Country","Year","Number of dentistry personnel","Number of dentists","Number of dental technicians/assistants"
"Trinidad and Tobago"," 1996","141","141",""
"Trinidad and Tobago"," 1995","134","134",""
"Tunisia"," 2014","4259","4259",""
"Tunisia"," 2010","3130","3130",""
"Tunisia"," 2009","2528","2528",""
"Tunisia"," 2008","2293","2293",""
"Tunisia"," 2006","1858","1858",""
"Tunisia"," 2005","1850","1850",""
"Tunisia"," 2004","2452","2100","352"
"Tunisia"," 2002","1394","1394",""
"Tunisia"," 2001","1380","1380",""
"Tunisia"," 2000","1315","1315",""
"Tunisia"," 1999","1301","1301",""
"Tunisia"," 1998","1276","1276",""
"Tunisia"," 1997","1200","1200",""
"Tunisia"," 1996","1108","1108",""
"Tunisia"," 1995","1038","1038",""
"Tunisia"," 1994","1008","1008",""
"Tunisia"," 1993","1004","1004",""
"Tunisia"," 1992","969","969",""
"Tunisia"," 1991","811","811",""
"Tunisia"," 1990","809","809",""
"Turkey"," 2014","22996","22996",""
"Turkey"," 2013","22295","22295",""
"Turkey"," 2012","21404","21404",""
"Turkey"," 2011","21099","21099",""
"Turkey"," 2010","21432","21432",""
"Turkey"," 2009","20589","20589",""
"Turkey"," 2008","19959","19959",""
"Turkey"," 2007","19278","19278",""
"Turkey"," 2006","18332","18332",""
"Turkey"," 2005","18149","18149",""
"Turkey"," 2004","17893","17893",""
"Turkey"," 2003","17744","17744",""
"Turkey"," 2002","16371","16371",""
"Turkey"," 2001","16075","16075",""
"Turkey"," 2000","15906","15906",""
"Turkey"," 1999","14226","14226",""
"Turkey"," 1998","13421","13421",""
"Turkey"," 1997","12737","12737",""
"Turkey"," 1996","12406","12406",""
"Turkey"," 1995","11717","11717",""
"Turkey"," 1994","11457","11457",""
"Turkey"," 1993","11069","11069",""
"Turkey"," 1992","10703","10703",""
"Turkey"," 1991","10623","10623",""
"Turkey"," 1990","10514","10514",""
"Turkey"," 1989","10132","10132",""
"Turkey"," 1988","9639","9639",""
"Turkey"," 1987","8589","8589",""
"Turkey"," 1986","8410","8410",""
"Turkey"," 1985","8305","8305",""
"Turkey"," 1984","8133","8133",""
"Turkey"," 1983","7763","7763",""
"Turkey"," 1982","7625","7625",""
"Turkey"," 1981","6790","6790",""
"Turkey"," 1980","7077","7077",""
"Turkey"," 1979","7021","7021",""
"Turkey"," 1978","6826","6826",""
"Turkey"," 1977","5954","5954",""
"Turkey"," 1976","5379","5379",""
"Turkey"," 1975","5046","5046",""
"Turkey"," 1974","4269","4269",""
"Turkey"," 1973","4279","4279",""
"Turkey"," 1972","3789","3789",""
"Turkey"," 1971","3517","3517",""
"Turkey"," 1970","3245","3245",""
"Turkmenistan"," 2014","631","631",""
"Turkmenistan"," 2013","610","610",""
"Turkmenistan"," 2012","614","614",""
"Turkmenistan"," 2011","604","604",""
"Turkmenistan"," 2010","586","586",""
"Turkmenistan"," 2002","876","876",""
"Tuvalu"," 2008","4","2","2"
"Tuvalu"," 2003","2","2",""
"Tuvalu"," 2002","2","2",""
"Uganda"," 2005","440","98","342"
"Uganda"," 2004","363","117","246"
"Ukraine"," 2014","26954","26954",""
"Ukraine"," 2013","30934","30934",""
"Ukraine"," 2012","30688","30688",""
"Ukraine"," 2011","30255","30255",""
"Ukraine"," 2010","30147","30147",""
"United Arab Emirates"," 2014","2814","2814",""
"United Arab Emirates"," 2007","2053","2053",""
"United Arab Emirates"," 2004","1368","1368",""
"United Arab Emirates"," 2002","850","850",""
"United Arab Emirates"," 2001","954","954",""
"United Kingdom of Great Britain and Northern Ireland"," 2015","34622","34622",""
"United Kingdom of Great Britain and Northern Ireland"," 2014","34638","34638",""
"United Kingdom of Great Britain and Northern Ireland"," 2013","33999","33999",""
"United Kingdom of Great Britain and Northern Ireland"," 2012","33654","33654",""
"United Kingdom of Great Britain and Northern Ireland"," 2011","33419","33419",""
"United Kingdom of Great Britain and Northern Ireland"," 2010","32423","32423",""
"United Kingdom of Great Britain and Northern Ireland"," 1997","90251","26166","64085"
"United Republic of Tanzania"," 2012","509","99","410"
"United Republic of Tanzania"," 2006","230","43","187"
"United Republic of Tanzania"," 2002","267","147","120"
"United States of America"," 2000","463663","134245","329418"
"Uruguay"," 2008","2476","2476",""
"Uruguay"," 2002","3936","3936",""
"Uzbekistan"," 2014","4520","4520",""
"Uzbekistan"," 2013","4749","4749",""
"Uzbekistan"," 2012","4719","4719",""
"Uzbekistan"," 2011","4861","4861",""
"Uzbekistan"," 2010","4693","4693",""
"Vanuatu"," 2012","17","17",""
"Vanuatu"," 2008","3","3",""
"Venezuela (Bolivarian Republic of)"," 2001","13680","13680",""
"Yemen"," 2014","543","543",""
"Yemen"," 2010","897","573","324"
"Yemen"," 2004","850","478","372"
"Yemen"," 1997","256","256",""
"Zambia"," 2012","401","77","324"
"Zambia"," 2011","373","73","300"
"Zambia"," 2010","246","246",""
"Zambia"," 2009","241","241",""
"Zambia"," 2004","491","269","222"
"Zimbabwe"," 2011","255","255",""
"Zimbabwe"," 2010","239","239",""
"Zimbabwe"," 2009","182","182",""
"Zimbabwe"," 2008","181","181",""
"Zimbabwe"," 2007","192","192",""
"Zimbabwe"," 1995","185","152","33"
"Zimbabwe"," 1990","153","131","22"
"Zimbabwe"," 1985","108","94","14"
